_element_key,_element_name,_element_type,_list_child_element_keys
assistant,assistant,string,[]
cam1,cam1,integer,[]
cam1i,cam1i,integer,[]
id,id,string,[]
lateroundcom,lateroundcom,string,[]
nome,nome,string,[]
roundsdate,roundsdate,string,[]
sec1,sec1,string,[]
sec1i,sec1i,string,[]
